海岛建设,600515
*ST黑豹,600760
金种子酒,600199
同济科技,600846
海博股份,600708
海欣股份,600851
申达股份,600626
*ST景谷,600265
莫高股份,600543
中国玻纤,600176
厦门国贸,600755
昆明制药,600422
复旦复华,600624
联美控股,600167
*ST龙科,600799
伊泰B股,900948
东华实业,600393
兴发集团,600141
海越股份,600387
运盛实业,600767
建设银行,601939
华联综超,600361
江山股份,600389
南京化纤,600889
福建南纺,600483
方正证券,601901
象屿股份,600057
西藏城投,600773
平高电气,600312
农业银行,601288
同方股份,600100
深高速,600548
吉恩镍业,600432
金丰投资,600606
东方创业,600278
杭萧钢构,600477
驰宏锌锗,600497
凌云股份,600480
百利电气,600468
锦江投资,600650
振华重工,600320
星宇股份,601799
南京高科,600064
皖通高速,600012
西南药业,600666
航空动力,600893
双良节能,600481
*ST国药,600421
华丽家族,600503
中国联通,600050
浙江富润,600070
铜峰电子,600237
上电股份,600627
华联矿业,600882
厦门空港,600897
海南航空,600221
奥康国际,603001
同达创业,600647
南宁百货,600712
唐山港,601000
瑞贝卡,600439
大湖股份,600257
中国平安,601318
中牧股份,600195
国金证券,600109
黄河旋风,600172
中孚实业,600595
鹏博士,600804
东贝B股,900956
盛和资源,600392
上港集团,600018
福日电子,600203
郑州煤电,600121
市北B股,900902
城投控股,600649
中国船舶,600150
新华医疗,600587
上海新梅,600732
山东药玻,600529
太极实业,600667
中天科技,600522
大橡塑,600346
松辽汽车,600715
宏达股份,600331
鲁抗医药,600789
自仪股份,600848
洪城股份,600566
东电B股,900949
丰华股份,600615
大唐发电,601991
滨化股份,601678
天房发展,600322
蓝科高新,601798
风帆股份,600482
广深铁路,601333
工大首创,600857
长征电气,600112
江泉实业,600212
宁波富达,600724
银鸽投资,600069
ST澄海,600634
宁波海运,600798
宁波港,601018
ST轻骑B,900946
*ST国通,600444
青岛啤酒,600600
江苏吴中,600200
百花村,600721
长春一东,600148
杭齿前进,601177
恒瑞医药,600276
中国汽研,601965
宁波联合,600051
科力远,600478
青松建化,600425
天通股份,600330
翠微股份,603123
华海药业,600521
西昌电力,600505
西藏药业,600211
锦州港,600190
永生投资,600613
熊猫烟花,600599
华能国际,600011
伊力特,600197
宁波富邦,600768
世茂股份,600823
中国高科,600730
珠江实业,600684
上海九百,600838
*ST贤成,600381
轻纺城,600790
新华龙,603399
华域汽车,600741
中国铁建,601186
重庆啤酒,600132
东材科技,601208
海立B股,900910
龙江交通,601188
上海贝岭,600171
*ST华圣,600672
航天通信,600677
正和股份,600759
南京银行,601009
丹科B股,900921
深圳燃气,601139
洪城水业,600461
兴业银行,601166
明泰铝业,601677
*ST九龙,600555
双钱股份,600623
华北制药,600812
海正药业,600267
阳泉煤业,600348
天方药业,600253
宏图高科,600122
东风科技,600081
中农资源,600313
保利地产,600048
冠农股份,600251
升华拜克,600226
美尔雅,600107
现代制药,600420
仪电B股,900901
大元股份,600146
包钢股份,600010
羚锐制药,600285
中电远达,600292
大连控股,600747
龙宇燃油,603003
香梨股份,600506
中煤能源,601898
华润万东,600055
*ST中达,600074
锦江股份,600754
*ST斯达,600670
古越龙山,600059
中国交建,601800
金自天正,600560
通策医疗,600763
*ST花雕,600659
明星电力,600101
涪陵电力,600452
振华B股,900947
天津港,600717
金山B股,900916
华银电力,600744
上海家化,600315
广晟有色,600259
江苏索普,600746
*ST联华,600617
红豆股份,600400
航民股份,600987
光大证券,601788
创兴资源,600193
大名城B,900940
杭钢股份,600126
中国人寿,601628
*ST中川,600852
中国嘉陵,600877
中国北车,601299
广电电气,601616
*ST北生,600556
洛阳钼业,603993
天科股份,600378
金鹰股份,600232
锦江B股,900934
巨化股份,600160
长电科技,600584
成商集团,600828
桂冠电力,600236
包钢稀土,600111
金健米业,600127
秦岭水泥,600217
瑞茂通,600180
路桥建设,600263
强生控股,600662
安阳钢铁,600569
*ST黄海,600579
赛轮股份,601058
重庆路桥,600106
上实医药,600607
宝光股份,600379
金发科技,600143
鲁商置业,600223
国投电力,600886
上海电气,601727
天地源,600665
维维股份,600300
